t,S,I,R
6.825700938800197,378.0,89.0,33.0
6.853722876973982,378.0,88.0,34.0
6.883949371686176,377.0,89.0,34.0
6.936443902601125,376.0,90.0,34.0
6.948001294865058,376.0,89.0,35.0
6.964319985921163,376.0,88.0,36.0
6.96474094958099,376.0,87.0,37.0
6.965212674679179,375.0,88.0,37.0
6.971755897916994,375.0,87.0,38.0
6.979270540187478,374.0,88.0,38.0
6.993425075749629,374.0,87.0,39.0
6.999174694270319,374.0,86.0,40.0
7.002959463501969,374.0,85.0,41.0
7.004402726933976,373.0,86.0,41.0
7.008742967809512,372.0,87.0,41.0
7.009586418561793,371.0,88.0,41.0
7.010705648097013,371.0,87.0,42.0
7.017845317815105,371.0,86.0,43.0
7.04517273049158,371.0,85.0,44.0
7.060736916522335,371.0,84.0,45.0
7.076052370285984,370.0,85.0,45.0
7.077082341597503,369.0,86.0,45.0
7.078856885957644,369.0,85.0,46.0
7.104365952924168,368.0,86.0,46.0
7.104868755820797,367.0,87.0,46.0
7.1060407327408415,366.0,88.0,46.0
7.124634008303096,365.0,89.0,46.0
7.133539596707627,365.0,88.0,47.0
7.145377098608509,364.0,89.0,47.0
7.152379603310455,363.0,90.0,47.0
7.155980961029825,362.0,91.0,47.0
7.166152145562087,361.0,92.0,47.0
7.166271611203844,360.0,93.0,47.0
7.203732289879701,360.0,92.0,48.0
7.205485772841478,359.0,93.0,48.0
7.220791909816401,358.0,94.0,48.0
7.232258213706593,357.0,95.0,48.0
7.239174166163922,356.0,96.0,48.0
7.2435231306984615,355.0,97.0,48.0
7.244817151967658,354.0,98.0,48.0
7.245394390238414,354.0,97.0,49.0
7.250372271040343,353.0,98.0,49.0
7.251617232970142,352.0,99.0,49.0
7.261400940965345,351.0,100.0,49.0
7.299563776980809,351.0,99.0,50.0
7.314371300924942,351.0,98.0,51.0
7.316627182164722,350.0,99.0,51.0
7.317108320287674,349.0,100.0,51.0
7.31783651422743,349.0,99.0,52.0
7.319108483727735,349.0,98.0,53.0
7.320390484957878,348.0,99.0,53.0
7.329265671971225,347.0,100.0,53.0
7.333144950225642,346.0,101.0,53.0
7.349641502607966,345.0,102.0,53.0
7.371649123695042,344.0,103.0,53.0
