t,S,I,R
0.9269228491017188,806,148,46
0.9274086527588098,806,147,47
0.9305187403292966,806,146,48
0.9332077404314327,805,147,48
0.939036582154738,805,146,49
0.947255162738774,805,145,50
0.9505651684907429,804,146,50
0.9520560738897128,803,147,50
0.9526549641194096,802,148,50
0.9536483677777244,801,149,50
0.9542988002235673,801,148,51
0.9553291424104176,800,149,51
0.9561611360131613,799,150,51
0.9579504872462801,798,151,51
0.9595676982661528,797,152,51
0.9598085388837789,796,153,51
0.9614434002401206,795,154,51
0.9653201889485206,794,155,51
0.9660923099429966,793,156,51
0.9695903024011607,793,155,52
0.9705669913536225,793,154,53
0.9779538169380154,792,155,53
0.9832206425150815,791,156,53
0.9856086431171971,790,157,53
0.9924195424905892,789,158,53
0.9925358161593478,788,159,53
0.9931843540490145,787,160,53
0.9939875271296301,786,161,53
0.9949968176336919,786,160,54
1.0039380555673298,785,161,54
1.0044294238565992,784,162,54
1.0059471737249146,783,163,54
1.0065321994552325,783,162,55
1.00719169371635,782,163,55
1.007587625261355,781,164,55
1.00760718741353,780,165,55
1.0133041956365427,779,166,55
1.0136462324666866,779,165,56
1.0152692229841522,779,164,57
1.020328799810553,778,165,57
1.0236945854426234,777,166,57
1.0258106137335772,776,167,57
1.0261480690403881,775,168,57
1.0269668196466835,774,169,57
1.0286574591754998,774,168,58
1.0294186225616002,773,169,58
1.0304702447781144,773,168,59
1.0323472170504921,772,169,59
1.039757242107409,772,168,60
1.0434743320595166,771,169,60
1.045735683666626,770,170,60
1.0465758221612653,769,171,60
1.0471498430549937,768,172,60
1.0525954228003735,767,173,60
1.0546531200480684,766,174,60
1.0552773923687497,766,173,61
1.0553266469128924,765,174,61
1.05543308408967,764,175,61
1.0594658359806637,763,176,61
1.0599589660162057,762,177,61
1.0612505260142902,761,178,61
1.0626412874847662,760,179,61
1.0635046692755898,759,180,61
1.0642491013761348,758,181,61
1.0667477635566425,757,182,61
1.0741205097896238,756,183,61
1.0743627117689059,755,184,61
1.0746333645909647,754,185,61
1.0765723424735785,753,186,61
1.0806589368106727,753,185,62
1.0810159217556459,752,186,62
1.0846077073855886,752,185,63
1.0850136918667377,752,184,64
1.086010087555026,751,185,64
1.092196354564553,750,186,64
1.0923927757360128,750,185,65
1.0949396063694812,750,184,66
1.097012142822908,749,185,66
1.0995664013479358,748,186,66
1.112246592420439,747,187,66
1.116419783740287,746,188,66
1.1175861869498118,746,187,67
1.1216431172176102,745,188,67
1.1248484516317505,744,189,67
1.129123125272063,744,188,68
1.1302131622065368,743,189,68
1.1363433534787446,742,190,68
1.13757897112866,741,191,68
1.1382133746119734,740,192,68
1.1382499911494495,740,191,69
1.138585022126747,739,192,69
1.1406024527518142,739,191,70
1.1416018059586368,738,192,70
1.144384118533545,737,193,70
1.1552169493349687,736,194,70
1.1562410154695817,735,195,70
1.1566852212579686,734,196,70
1.161555365846562,733,197,70
1.1636948149510116,732,198,70
1.164814783808562,731,199,70
1.1669786950634005,730,200,70
1.167001883030416,729,201,70
1.1678532390494205,728,202,70
1.171412631922411,728,201,71
1.1729611525251047,727,202,71
1.1740142330092693,726,203,71
1.1748944340421952,726,202,72
1.1766101592539298,725,203,72
1.1772995523682162,724,204,72
1.1842593055749946,724,203,73
1.1851631613899587,723,204,73
1.1937194520148218,723,203,74
1.1945564742486932,723,202,75
1.1964222849583124,723,201,76
1.1992286249366362,723,200,77
1.2054877862962252,723,199,78
1.2057398253981007,722,200,78
1.2059391040139797,721,201,78
1.207357965763922,720,202,78
1.2086116946318701,719,203,78
1.2113303129363957,718,204,78
1.2119478418685767,718,203,79
1.2137323177907682,718,202,80
1.2168142343161752,717,203,80
1.2179599138432955,717,202,81
1.2250822362294056,716,203,81
1.226118770862171,715,204,81
1.2326899363107633,715,203,82
1.2334335700743908,715,202,83
1.234524709603157,715,201,84
1.242051248330843,714,202,84
1.2427952042288097,713,203,84
1.2431643689043463,712,204,84
1.245544846441296,712,203,85
1.2456614146798886,711,204,85
1.2511954988601248,710,205,85
1.2518771491025222,709,206,85
1.2527528069564982,708,207,85
1.2555870820398254,707,208,85
1.2565308053191007,706,209,85
1.2597046350442294,705,210,85
1.2613498664662548,705,209,86
1.2625888259000533,704,210,86
1.2694179620557116,703,211,86
1.2698263789598616,702,212,86
1.2709357552671132,702,211,87
1.2808616121228287,701,212,87
1.2810706376540095,700,213,87
1.2828004655111624,700,212,88
1.287494653828664,700,211,89
1.289758650832999,699,212,89
1.291284810182345,698,213,89
1.302377036889035,697,214,89
1.3080903621443734,696,215,89
1.3222473301469173,696,214,90
1.3231210616471665,695,215,90
1.3269310088996027,694,216,90
1.3345249246179485,694,215,91
1.3358233317874104,693,216,91
1.3358919020345206,692,217,91
1.3416678872519376,691,218,91
1.34421876480585,690,219,91
1.3450484074701483,690,218,92
1.3452085235485094,689,219,92
1.3516377949021354,688,220,92
1.3581099200103854,688,219,93
1.3612173255189433,688,218,94
1.3620656538497,688,217,95
1.3654191586325497,687,218,95
1.3668636156688871,686,219,95
1.3672245863318617,685,220,95
1.368272011925701,684,221,95
1.371028995920012,683,222,95
1.3735609608970587,682,223,95
1.3750791576871164,681,224,95
1.3773659318883245,681,223,96
1.378908443325019,680,224,96
1.3813716555046063,680,223,97
1.3895007319931663,679,224,97
1.3911313071335683,679,223,98
1.3934397055058003,679,222,99
1.3959844610770757,679,221,100
1.3980818930060954,679,220,101
1.3993166261869485,679,219,102
1.4049107921817499,678,220,102
1.4062770513876064,677,221,102
1.4073429811763014,676,222,102
1.4075966122922812,675,223,102
1.4087632215544295,674,224,102
1.4093102694496011,673,225,102
1.410394339335187,672,226,102
1.4124089892560754,671,227,102
1.413366703000254,671,226,103
1.429484008041612,670,227,103
1.4299550995217412,669,228,103
1.4331829222876904,668,229,103
1.4388346214038714,667,230,103
1.441965167494832,667,229,104
1.4449545149224758,666,230,104
1.4483479161235335,665,231,104
1.4499519780550176,664,232,104
1.4503810080000104,664,231,105
1.451713143731912,664,230,106
1.453471889941667,663,231,106
1.457248172533257,662,232,106
1.4577213081519826,661,233,106
1.4590138458088873,660,234,106
1.4595508528161067,660,233,107
1.4634079385039311,660,232,108
1.4636336260806937,659,233,108
1.463920793607552,658,234,108
1.4692703701046723,657,235,108
1.476687944900272,656,236,108
1.4795324691022962,655,237,108
1.4801873678909823,654,238,108
1.4813318913568,653,239,108
1.4827293886194413,652,240,108
1.4846827132365592,651,241,108
1.4863360170557827,650,242,108
1.488243491379605,650,241,109
1.4895135011217155,649,242,109
1.491240194811544,648,243,109
1.4929551290339649,647,244,109
1.5001320433233034,647,243,110
1.5021395894375578,646,244,110
1.5090117120099833,645,245,110
1.510878084924756,644,246,110
1.512986867680551,643,247,110
1.5129955624056126,642,248,110
1.5131031675911168,641,249,110
1.5230300998937634,640,250,110
1.525837573059001,639,251,110
1.5260058057797883,638,252,110
1.526338633467391,637,253,110
1.535359285074934,636,254,110
1.5356658743655287,635,255,110
1.5381904860076154,634,256,110
1.549872816872399,634,255,111
1.5523315016686592,633,256,111
1.5530996856522743,632,257,111
1.5538578667282201,632,256,112
1.5552704320006654,631,257,112
